time,temperature_2m,relative_humidity_2m,precipitation
2026-08-17 00:00:00,21.2,91,0.0
2026-08-17 01:00:00,21.0,92,0.0
2026-08-17 02:00:00,20.8,93,0.0
2026-08-17 03:00:00,20.8,93,0.0
2026-08-17 04:00:00,21.0,92,0.0
2026-08-17 05:00:00,21.9,88,0.1
2026-08-17 06:00:00,21.5,89,0.0
2026-08-17 07:00:00,22.3,84,0.0
2026-08-17 08:00:00,24.0,74,0.0
2026-08-17 09:00:00,25.4,67,0.0
2026-08-17 10:00:00,26.3,65,0.0
2026-08-17 11:00:00,26.8,61,0.0
2026-08-17 12:00:00,28.6,56,0.2
2026-08-17 13:00:00,29.0,57,0.3
2026-08-17 14:00:00,28.8,57,0.3
2026-08-17 15:00:00,26.6,67,2.0
2026-08-17 16:00:00,26.0,70,1.1
2026-08-17 17:00:00,24.8,77,0.9
2026-08-17 18:00:00,23.8,79,0.0
2026-08-17 19:00:00,23.1,82,0.0
2026-08-17 20:00:00,22.5,85,0.0
2026-08-17 21:00:00,22.0,88,0.0
2026-08-17 22:00:00,21.5,91,0.0
2026-08-17 23:00:00,21.1,93,0.0
2026-08-18 00:00:00,21.0,93,0.0
2026-08-18 01:00:00,20.6,95,0.0
2026-08-18 02:00:00,20.7,94,0.0
2026-08-18 03:00:00,20.6,95,0.0
2026-08-18 04:00:00,20.3,97,0.0
2026-08-18 05:00:00,20.3,96,0.0
2026-08-18 06:00:00,20.9,92,0.0
2026-08-18 07:00:00,21.8,87,0.0
2026-08-18 08:00:00,23.5,78,0.0
2026-08-18 09:00:00,25.3,71,0.1
2026-08-18 10:00:00,26.7,64,0.1
2026-08-18 11:00:00,28.4,59,0.2
2026-08-18 12:00:00,29.3,58,0.2
2026-08-18 13:00:00,30.0,55,0.1
2026-08-18 14:00:00,27.3,66,1.1
2026-08-18 15:00:00,27.4,64,0.3
2026-08-18 16:00:00,26.1,73,0.4
2026-08-18 17:00:00,26.4,68,0.1
2026-08-18 18:00:00,25.0,75,0.1
2026-08-18 19:00:00,23.8,81,0.0
2026-08-18 20:00:00,22.8,87,0.0
2026-08-18 21:00:00,22.1,90,0.0
2026-08-18 22:00:00,21.7,91,0.0
2026-08-18 23:00:00,21.3,94,0.0
2026-08-19 00:00:00,21.0,95,0.0
2026-08-19 01:00:00,20.9,95,0.0
2026-08-19 02:00:00,20.9,95,0.0
2026-08-19 03:00:00,20.7,96,0.0
2026-08-19 04:00:00,20.5,97,0.0
2026-08-19 05:00:00,20.9,95,0.0
2026-08-19 06:00:00,20.6,96,0.0
2026-08-19 07:00:00,22.4,87,0.0
2026-08-19 08:00:00,24.5,76,0.0
2026-08-19 09:00:00,25.3,71,0.1
2026-08-19 10:00:00,27.4,65,0.0
2026-08-19 11:00:00,28.9,58,0.1
2026-08-19 12:00:00,24.1,82,1.4
2026-08-19 13:00:00,25.6,79,3.0
2026-08-19 14:00:00,28.8,61,0.2
2026-08-19 15:00:00,26.6,67,0.4
2026-08-19 16:00:00,24.4,87,4.1
2026-08-19 17:00:00,25.0,79,0.3
2026-08-19 18:00:00,24.4,76,0.0
2026-08-19 19:00:00,23.3,82,0.1
2026-08-19 20:00:00,22.7,86,0.0
2026-08-19 21:00:00,22.2,88,0.0
2026-08-19 22:00:00,21.7,90,0.0
2026-08-19 23:00:00,21.4,93,0.0
2026-08-20 00:00:00,21.0,95,0.0
2026-08-20 01:00:00,20.9,95,0.0
2026-08-20 02:00:00,21.2,93,0.0
2026-08-20 03:00:00,21.7,90,0.0
2026-08-20 04:00:00,21.8,91,0.0
2026-08-20 05:00:00,21.7,92,0.0
2026-08-20 06:00:00,21.6,92,0.0
2026-08-20 07:00:00,22.4,88,0.1
2026-08-20 08:00:00,23.4,83,0.1
2026-08-20 09:00:00,25.2,73,0.2
2026-08-20 10:00:00,27.2,63,0.1
2026-08-20 11:00:00,28.4,57,0.1
2026-08-20 12:00:00,29.3,53,0.1
2026-08-20 13:00:00,29.7,50,0.1
2026-08-20 14:00:00,29.9,49,0.0
2026-08-20 15:00:00,29.5,49,0.0
2026-08-20 16:00:00,27.7,57,0.4
2026-08-20 17:00:00,26.6,62,0.1
2026-08-20 18:00:00,25.3,67,0.0
2026-08-20 19:00:00,24.2,73,0.0
2026-08-20 20:00:00,23.1,78,0.0
2026-08-20 21:00:00,22.5,82,0.0
2026-08-20 22:00:00,22.0,86,0.0
2026-08-20 23:00:00,21.5,90,0.0
2026-08-21 00:00:00,21.2,92,0.0
2026-08-21 01:00:00,20.9,93,0.0
2026-08-21 02:00:00,20.7,94,0.0
2026-08-21 03:00:00,20.5,95,0.0
2026-08-21 04:00:00,20.3,96,0.0
2026-08-21 05:00:00,20.6,94,0.0
2026-08-21 06:00:00,21.3,89,0.0
2026-08-21 07:00:00,22.4,83,0.0
2026-08-21 08:00:00,23.6,76,0.0
2026-08-21 09:00:00,24.9,68,0.0
2026-08-21 10:00:00,26.3,61,0.0
2026-08-21 11:00:00,27.5,56,0.0
2026-08-21 12:00:00,28.5,52,0.1
2026-08-21 13:00:00,29.2,49,0.1
2026-08-21 14:00:00,29.5,49,0.1
2026-08-21 15:00:00,29.0,51,0.1
2026-08-21 16:00:00,27.9,54,0.1
2026-08-21 17:00:00,26.7,60,0.1
2026-08-21 18:00:00,25.2,67,0.0
2026-08-21 19:00:00,23.5,77,0.0
2026-08-21 20:00:00,22.1,85,0.0
2026-08-21 21:00:00,21.4,90,0.0
2026-08-21 22:00:00,21.1,91,0.0
2026-08-21 23:00:00,20.9,92,0.0
2026-08-22 00:00:00,20.9,91,0.0
2026-08-22 01:00:00,21.1,90,0.0
2026-08-22 02:00:00,21.2,89,0.0
2026-08-22 03:00:00,21.1,90,0.0
2026-08-22 04:00:00,20.9,91,0.0
2026-08-22 05:00:00,21.0,90,0.0
2026-08-22 06:00:00,21.4,87,0.0
2026-08-22 07:00:00,22.2,83,0.0
2026-08-22 08:00:00,23.1,77,0.0
2026-08-22 09:00:00,24.3,71,0.0
2026-08-22 10:00:00,25.7,64,0.0
2026-08-22 11:00:00,26.8,60,0.0
2026-08-22 12:00:00,27.5,57,0.3
2026-08-22 13:00:00,28.1,56,0.3
2026-08-22 14:00:00,28.1,56,0.3
2026-08-22 15:00:00,27.6,59,0.4
2026-08-22 16:00:00,26.6,63,0.4
