name,miles_per_gallon,cylinders,displacement,hp,weight_lbs,acceleration,year,weight_kg,vehicle_age,origin_encoded,origin_europe,origin_japan,origin_usa
chevrolet chevelle malibu,-0.706438700650983,1.5158966476239606,1.0965158053889874,0.6941543430119048,0.6410010966269917,-1.301635845156738,70,0.6410010966269918,1.6274262921582943,2,False,False,True
buick skylark 320,-1.0907506236404463,1.5158966476239606,1.5100546286957766,1.627150290344579,0.8654277094746253,-1.484357016986726,70,0.8654277094746259,1.6274262921582943,2,False,False,True
plymouth satellite,-0.706438700650983,1.5158966476239606,1.2023048067000266,1.2272948843448614,0.5602550136976843,-1.6670781888167139,70,0.5602550136976848,1.6274262921582943,2,False,False,True
amc rebel sst,-0.9626466493106252,1.5158966476239606,1.067664259576886,1.2272948843448614,0.5566926865096266,-1.301635845156738,70,0.5566926865096266,1.6274262921582943,2,False,False,True
ford torino,-0.834542674980804,-0.8477737373097765,1.0484298957021514,0.9607246136783831,0.5756917648459342,-1.8497993606467016,70,0.5756917648459342,1.6274262921582943,2,False,False,True
ford galaxie 500,-1.0907506236404463,1.5158966476239606,2.2698120017477845,2.506832183543957,1.634890382095084,-2.0325205324766893,70,1.6348903820950842,1.6274262921582943,2,False,False,True
chevrolet impala,-1.2188545979702672,1.5158966476239606,2.510241550181964,3.0932867790102097,-0.19792695616059172,-2.397962876136665,70,-0.19792695616059133,1.6274262921582943,2,False,False,True
plymouth fury iii,-1.2188545979702672,1.5158966476239606,2.3756010030588235,2.9600016436769705,1.6004545526105265,-2.580684047966653,70,1.6004545526105267,1.6274262921582943,2,False,False,True
pontiac catalina,-1.2188545979702672,1.5158966476239606,2.5198587321193315,-0.30548417198738886,1.734635543360699,-2.0325205324766893,70,1.7346355433606995,1.6274262921582943,2,False,False,True
amc ambassador dpl,-1.0907506236404463,1.5158966476239606,1.8947419061904642,2.2935759670107747,1.051856165649644,-2.580684047966653,70,1.051856165649644,1.6274262921582943,2,False,False,True
dodge challenger se,-1.0907506236404463,1.5158966476239606,1.827421632628894,1.760435425677818,0.7110601979921259,-2.0325205324766893,70,0.7110601979921265,1.6274262921582943,2,False,False,True
plymouth 'cuda 340,-1.2188545979702672,1.5158966476239606,1.4138828093221047,1.4938651550113398,0.7656825482090104,-2.763405219796641,70,0.7656825482090106,1.6274262921582943,2,False,False,True
chevrolet monte carlo,-1.0907506236404463,-0.8477737373097765,1.990913725564136,1.2272948843448614,0.9461737924039327,-2.215241704306677,70,0.9461737924039328,1.6274262921582943,2,False,False,True
buick estate wagon (sw),-1.2188545979702672,1.5158966476239606,2.5198587321193315,3.226571914343449,0.14465017509095504,-2.0325205324766893,70,0.14465017509095557,1.6274262921582943,2,False,False,True
toyota corona mark ii,0.06218514532794337,-0.8477737373097765,-0.7692174904602475,-0.23884160432076926,-0.7031836956667725,-0.2053088141768111,70,-0.7031836956667723,1.6274262921582943,1,False,True,False
plymouth duster,-0.19402280333169875,0.33406145515709207,0.04824297421596373,-0.23884160432076926,-0.1557727511019092,-0.022587642346823256,70,-0.155772751101909,1.6274262921582943,2,False,False,True
amc hornet,-0.706438700650983,0.33406145515709207,0.05786015615333091,-0.1855275501874736,-0.22583185246704354,-0.022587642346823256,70,-0.22583185246704307,1.6274262921582943,2,False,False,True
ford maverick,-0.3221267776615198,0.33406145515709207,0.0674773380906981,-0.5054118749872476,-0.4478835805226388,0.1601335294831646,70,-0.44788358052263827,1.6274262921582943,2,False,False,True
datsun pl510,0.44649706831740654,-0.8477737373097765,-0.9230924014581224,-0.4254407937873041,-0.9905447555034252,-0.38802998600679894,70,-0.990544755503425,1.6274262921582943,1,False,True,False
volkswagen 1131 deluxe sedan,0.3183930939875855,-0.8477737373097765,-0.9230924014581224,-0.30548417198738886,-1.340840262329097,1.8046240759530552,70,-1.3408402623290967,1.6274262921582943,0,True,False,False
peugeot 504,0.19028911965776443,-0.8477737373097765,-0.798069036272349,-0.4520978208539519,-0.3469509768610046,0.7082970449731281,70,-0.3469509768610042,1.6274262921582943,0,True,False,False
audi 100 ls,0.06218514532794337,-0.8477737373097765,-0.8269205820844505,-0.37212673965400844,-0.6343120366976573,-0.38802998600679894,70,-0.634312036697657,1.6274262921582943,0,True,False,False
saab 99e,0.19028911965776443,-0.8477737373097765,-0.8557721278965521,-0.23884160432076926,-0.6996213684787148,0.7082970449731281,70,-0.6996213684787146,1.6274262921582943,0,True,False,False
bmw 2002,0.3183930939875855,-0.8477737373097765,-0.6922800349613099,0.24098488287889167,-0.8670507463174257,-0.022587642346823256,70,-0.8670507463174254,1.6274262921582943,0,True,False,False
amc gremlin,-0.3221267776615198,0.33406145515709207,0.05786015615333091,-0.37212673965400844,-0.37544959436546604,-0.2053088141768111,70,-0.37544959436546593,1.6274262921582943,2,False,False,True
ford f250,-1.7312704952895515,1.5158966476239606,1.6062264480694486,2.9600016436769705,1.960249598604352,-0.5707511578367868,70,1.9602495986043524,1.6274262921582943,2,False,False,True
chevy c20,-1.7312704952895515,1.5158966476239606,1.0965158053889874,2.560146237677253,1.6764508659557569,-0.2053088141768111,70,1.6764508659557573,1.6274262921582943,2,False,False,True
dodge d200,-1.6031665209597303,1.5158966476239606,1.2023048067000266,2.8267165083437313,1.6835755203318723,-0.7534723296667746,70,1.6835755203318725,1.6274262921582943,2,False,False,True
hi 1200d,-1.8593744696193726,1.5158966476239606,1.067664259576886,2.373547048210718,2.0991803589386016,1.0737393886331037,70,2.0991803589386016,1.6274262921582943,2,False,False,True
datsun pl510,0.44649706831740654,-0.8477737373097765,-0.9230924014581224,-0.4254407937873041,-0.9905447555034252,-0.38802998600679894,71,-0.990544755503425,1.3566421515734235,1,False,True,False
chevrolet vega 2300,0.5746010426472277,-0.8477737373097765,-0.5095535781513333,-0.37212673965400844,-0.831427474436849,-0.022587642346823256,71,-0.8314274744368487,1.3566421515734235,2,False,False,True
toyota corona,0.19028911965776443,-0.8477737373097765,-0.7692174904602475,-0.23884160432076926,-0.874175400693541,-0.5707511578367868,71,-0.8741754006935407,1.3566421515734235,1,False,True,False
ford pinto,0.19028911965776443,-0.8477737373097765,-0.9134752195207553,-0.30548417198738886,-1.0902899167690403,1.2564605604630916,71,-1.09028991676904,1.3566421515734235,2,False,False,True
amc gremlin,-0.5783347263211619,0.33406145515709207,0.3752271600864482,-0.10555646898753011,-0.3920737879097352,-0.9361935014967624,71,-0.39207378790973474,1.3566421515734235,2,False,False,True
plymouth satellite custom,-0.9626466493106252,0.33406145515709207,0.30790688652487785,0.02772866634570903,0.5638173408857419,-0.022587642346823256,71,0.5638173408857424,1.3566421515734235,2,False,False,True
chevrolet chevelle malibu,-0.834542674980804,0.33406145515709207,0.5483364349590576,-0.10555646898753011,0.43319867732362705,-0.022587642346823256,71,0.4331986773236272,1.3566421515734235,2,False,False,True
ford torino 500,-0.5783347263211619,0.33406145515709207,0.5483364349590576,-0.4254407937873041,0.4011377326311079,-0.022587642346823256,71,0.4011377326311084,1.3566421515734235,2,False,False,True
amc matador,-0.706438700650983,0.33406145515709207,0.3752271600864482,-0.10555646898753011,0.3845135390868388,-0.022587642346823256,71,0.384513539086839,1.3566421515734235,2,False,False,True
chevrolet impala,-1.2188545979702672,1.5158966476239606,1.5100546286957766,1.627150290344579,1.4781479858205462,-1.301635845156738,71,1.4781479858205462,1.3566421515734235,2,False,False,True
pontiac catalina brougham,-1.2188545979702672,1.5158966476239606,1.990913725564136,1.8937205610110572,1.7809457968054487,-1.484357016986726,71,1.780945796805449,1.3566421515734235,2,False,False,True
ford galaxie 500,-1.2188545979702672,1.5158966476239606,1.5196718106331437,1.307265965544805,1.4128386540394886,-0.7534723296667746,71,1.412838654039489,1.3566421515734235,2,False,False,True
plymouth fury iii,-1.2188545979702672,1.5158966476239606,1.2023048067000266,1.2272948843448614,1.3439669950703736,-0.9361935014967624,71,1.3439669950703739,1.3566421515734235,2,False,False,True
dodge monaco (sw),-1.4750625466299094,1.5158966476239606,1.827421632628894,2.0270056963442964,2.363980013250889,-1.484357016986726,71,2.3639800132508886,1.3566421515734235,2,False,False,True
ford country squire (sw),-1.3469585723000883,1.5158966476239606,1.990913725564136,1.760435425677818,2.115804552482871,-1.301635845156738,71,2.1158045524828712,1.3566421515734235,2,False,False,True
pontiac safari (sw),-1.3469585723000883,1.5158966476239606,1.990913725564136,1.8937205610110572,2.5836568565144455,-1.301635845156738,71,2.5836568565144464,1.3566421515734235,2,False,False,True
amc hornet sportabout (sw),-0.706438700650983,0.33406145515709207,0.6252738904579951,0.1610138016789482,-0.0025926820154290003,-0.7534723296667746,71,-0.002592682015428468,1.3566421515734235,2,False,False,True
chevrolet vega (sw),-0.19402280333169875,-0.8477737373097765,-0.5095535781513333,-0.8519532268536694,-0.6604357694100803,1.2564605604630916,71,-0.66043576941008,1.3566421515734235,2,False,False,True
pontiac firebird,-0.5783347263211619,0.33406145515709207,0.5483364349590576,-0.10555646898753011,0.3773888847107234,-0.2053088141768111,71,0.3773888847107237,1.3566421515734235,2,False,False,True
ford mustang,-0.706438700650983,0.33406145515709207,0.5483364349590576,-0.4254407937873041,0.20758462207997405,-0.38802998600679894,71,0.20758462207997438,1.3566421515734235,2,False,False,True
mercury capri 2000,-0.06591882900187769,-0.8477737373097765,-0.6826628530239427,-0.47875484792059975,-0.8836749398616949,-0.5707511578367868,71,-0.8836749398616945,1.3566421515734235,2,False,False,True
opel 1900,0.5746010426472277,-0.8477737373097765,-0.7403659446481459,-0.37212673965400844,-0.9988568522755599,-0.5707511578367868,71,-0.9988568522755594,1.3566421515734235,0,True,False,False
peugeot 304,0.8308089913068697,-0.8477737373097765,-1.0962016763307318,-0.9052672809869651,-1.0570415296805018,1.4391817322930793,71,-1.0570415296805016,1.3566421515734235,0,True,False,False
fiat 124b,0.8308089913068697,-0.8477737373097765,-1.0096470388944272,-0.7453251185870781,-1.067728511244675,-0.38802998600679894,71,-1.0677285112446748,1.3566421515734235,0,True,False,False
toyota corolla 1200,0.9589129656366908,-0.8477737373097765,-1.1731391318296693,-1.0385524163202042,-1.414461690882289,1.2564605604630916,71,-1.4144616908822887,1.3566421515734235,1,False,True,False
datsun 1200,1.471328862955975,-0.8477737373097765,-1.1635219498923022,-0.9319243080536128,-1.6044524742453652,0.8910182168031159,71,-1.6044524742453647,1.3566421515734235,1,False,True,False
volkswagen model 111,0.44649706831740654,-0.8477737373097765,-0.9230924014581224,-1.1718375516534434,-1.3420277047251161,1.2564605604630916,71,-1.342027704725116,1.3566421515734235,0,True,False,False
plymouth cricket,0.3183930939875855,-0.8477737373097765,-0.9807954930823256,-0.9052672809869651,-1.1983471748067898,1.8046240759530552,71,-1.1983471748067898,1.3566421515734235,2,False,False,True
toyota corona hardtop,0.06218514532794337,-0.8477737373097765,-0.7692174904602475,-0.23884160432076926,-0.8148032808925797,-0.022587642346823256,72,-0.8148032808925793,1.0858580109885525,1,False,True,False
dodge colt hardtop,0.19028911965776443,-0.8477737373097765,-0.9182838104894389,-0.6386970103204868,-0.9952945250875022,0.5255758731431402,72,-0.9952945250875018,1.0858580109885525,2,False,False,True
volkswagen type 3,-0.06591882900187769,-0.8477737373097765,-0.9230924014581224,-1.3317797140533303,-0.8433018983970412,2.900951106932982,72,-0.8433018983970411,1.0858580109885525,0,True,False,False
chevrolet vega,-0.4502307519913409,-0.8477737373097765,-0.5095535781513333,-0.37212673965400844,-0.6604357694100803,1.4391817322930793,72,-0.66043576941008,1.0858580109885525,2,False,False,True
ford pinto runabout,-0.3221267776615198,-0.8477737373097765,-0.6826628530239427,-0.47875484792059975,-0.8765502854855796,0.34285470131315243,72,-0.8765502854855792,1.0858580109885525,2,False,False,True
chevrolet impala,-1.3469585723000883,1.5158966476239606,1.5100546286957766,1.627150290344579,1.5553317415617958,-1.301635845156738,72,1.5553317415617962,1.0858580109885525,2,False,False,True
pontiac catalina,-1.2188545979702672,1.5158966476239606,1.990913725564136,1.8937205610110572,1.68713784751993,-1.301635845156738,72,1.6871378475199301,1.0858580109885525,2,False,False,True
plymouth fury iii,-1.0907506236404463,1.5158966476239606,1.2023048067000266,1.2272948843448614,1.3902772485151234,-0.7534723296667746,72,1.3902772485151238,1.0858580109885525,2,False,False,True
ford galaxie 500,-1.2188545979702672,1.5158966476239606,1.5196718106331437,1.307265965544805,1.383152594139008,-0.9361935014967624,72,1.3831525941390086,1.0858580109885525,2,False,False,True
amc ambassador sst,-0.834542674980804,1.5158966476239606,1.067664259576886,1.2272948843448614,0.8404914191582217,-1.484357016986726,72,0.8404914191582217,1.0858580109885525,2,False,False,True
mercury marquis,-1.6031665209597303,1.5158966476239606,2.2698120017477845,2.7734024542104354,1.981623561732698,-1.6670781888167139,72,1.9816235617326983,1.0858580109885525,2,False,False,True
buick lesabre custom,-1.3469585723000883,1.5158966476239606,1.5100546286957766,1.3605800196781006,1.8260686078541795,-0.7534723296667746,72,1.8260686078541795,1.0858580109885525,2,False,False,True
oldsmobile delta 88 royale,-1.4750625466299094,1.5158966476239606,1.5100546286957766,1.4938651550113398,1.771446257637295,-0.7534723296667746,72,1.7714462576372954,1.0858580109885525,2,False,False,True
chrysler newport royal,-1.3469585723000883,1.5158966476239606,1.990913725564136,2.2935759670107747,1.7310732161726412,-1.1189146733267503,72,1.7310732161726412,1.0858580109885525,2,False,False,True
