sl_no,hsc_p,hsc_s,degree_p,degree_t,etest_p,specialisation,mba_p,salary,hsc_p ,gender_0,gender_1
1,0.8570514188180072,1,0.05714285714285716,2,0.10416666666666669,1,58.8,0.09459459459459461,91.0,False,True
2,0.5867292511201193,2,0.6137142857142859,2,0.7604166666666665,0,66.28,0.0,78.33,False,True
3,0.4090226245137383,0,0.22857142857142862,0,0.5208333333333333,0,57.8,0.06756756756756757,70.00089041095892,False,True
5,0.4858118199274587,1,0.4942857142857143,0,0.9749999999999999,0,55.5,0.30405405405405406,73.6,False,True
8,0.28098997226370803,2,0.28571428571428575,2,0.35416666666666663,0,62.14,0.07027027027027027,64.0,False,True
9,0.6010241092383186,1,0.4571428571428572,0,0.8612500000000001,0,61.29,0.041891891891891894,79.0,False,True
11,0.4090226245137383,1,0.1142857142857143,0,0.24999999999999997,1,60.85,0.08108108108108109,70.00089041095892,False,True
12,0.3748666524429273,1,0.6371428571428571,0,0.20833333333333331,0,63.7,0.06756756756756757,68.4,False,True
14,0.7717089822914442,1,0.08571428571428574,0,0.37499999999999994,0,68.63,0.02432432432432434,87.0,True,False
16,0.5156816727117558,1,0.3714285714285715,0,0.45833333333333326,0,64.66,0.0,75.0,True,False
17,0.32792831235331765,1,0.27428571428571413,0,0.20833333333333331,0,62.54,0.13513513513513514,66.2,False,True
20,0.34499679965863017,0,0.3637706511175899,0,0.009999999999999953,0,77.89,0.04864864864864865,67.0,False,True
21,0.30232558139534876,1,0.28571428571428575,0,0.0,1,56.7,0.08783783783783786,65.0,False,True
22,0.5370172818433965,1,0.8285714285714286,0,0.9375,0,69.06,0.2608108108108108,76.0,True,False
23,0.21271602304245774,2,0.4637142857142859,2,0.11520833333333336,1,68.81,0.21621621621621623,60.8,True,False
24,0.19564753573714522,2,0.2497142857142856,2,0.875,0,63.62,0.13513513513513514,60.0,True,False
25,1.0,2,0.6531428571428572,2,0.9875,0,74.01,0.21621621621621623,97.7,False,True
27,0.6010241092383186,1,0.28571428571428575,0,0.9166666666666665,0,57.55,0.05405405405405406,79.0,False,True
28,0.34499679965863017,1,0.28571428571428575,0,0.37499999999999994,1,57.69,0.08783783783783786,67.0,False,True
29,0.5476850864092169,1,0.3285714285714286,0,0.48645833333333316,0,64.15,0.20270270270270274,76.5,False,True
31,0.48367825901429473,1,0.48571428571428577,0,0.041666666666666685,1,56.7,0.06756756756756757,73.5,True,False
33,0.6436953275016001,1,0.2971428571428574,0,0.018541666666666734,1,62.21,0.10540540540540543,81.0,True,False
34,0.30232558139534876,2,0.7142857142857144,0,0.7916666666666666,0,72.78,0.08108108108108109,65.0,True,False
36,0.5796885001066778,1,0.4571428571428572,0,0.43749999999999994,1,62.74,0.13513513513513514,78.0,True,False
38,0.5370172818433965,2,0.27428571428571413,2,0.16666666666666669,1,55.47,0.16216216216216217,76.0,True,False
39,0.1529763174738638,2,0.28571428571428575,0,0.07708333333333345,1,56.86,0.05405405405405406,58.0,True,False
40,0.3663324087902709,2,0.22857142857142862,2,0.8958333333333333,0,62.56,0.28513513513513516,68.0,False,True
41,0.5583528909750372,1,0.6857142857142857,0,0.20833333333333331,0,66.72,0.11756756756756759,77.0,True,False
44,0.7717089822914442,1,0.3428571428571429,0,0.9375,1,62.9,0.13513513513513514,87.0,False,True
45,0.4730104544484744,1,0.7142857142857144,0,0.8125,0,69.7,0.0,73.0,True,False
